"c2g__Rate__c","c2g__TaxCode__r.Id","c2g__TaxCode__r.c2g__Description__c","c2g__TaxCode__r.Country__c"
"22.0","a3e1o000000kYLhAAM","Regularização IVA 22%","Portugal"
"23.0","a3e1o000000kYLmAAM","Regularização IVA 23%","Portugal"
"0.0","a3e1o000000kYLXAA2","Regularização IVA 0%","Portugal"
"18.0","a3e1o000000kYLcAAM","Regularização IVA 18%","Portugal"
"18.0","a3e24000000d6qbAAA","Regularização Açores IVA 18%","Portugal"
"0.0","a3e24000000d6rAAAQ","Vendas Comunitárias Auto Liquidação","Portugal"
"18.0","a3e24000000d6qqAAA","OBS IVA 18%","Portugal"
"18.0","a3e24000000d6qHAAQ","Regularização IVA 18%","Portugal"
"22.0","a3e24000000d6qlAAA","Regularização Madeira IVA 22%","Portugal"
"0.0","a3e24000000d6qWAAQ","Regularizações p/ facturas inexactas (nº3/ artº 78º do codigo/iva)","Portugal"
"0.0","a3e24000000d6sIAAQ","OBS IVA Isento","Portugal"
"13.0","a3e24000000ZfK6AAK","OBS IVA 13%","Portugal"
"6.0","a3e240000005YBCAA2","OBS IVA 6%","Portugal"
"23.0","a3e24000000d6r0AAA","OBS AL IVA 23%","Portugal"
"23.0","a3e24000000d6ncAAA","IMO IVA 23%","Portugal"
"0.0","a3e24000000d6nhAAA","Venda Continente Isento IVA 00%","Portugal"
"22.0","a3e240000004zgKAAQ","Venda Madeira Taxa Normal IVA 22%","Portugal"
"18.0","a3e240000004zg5AAA","Venda Açores Taxa Normal IVA 18%","Portugal"
"18.0","a3e240000004zgAAAQ","Compras Açores Taxa Normal IVA 18%","Portugal"
"22.0","a3e240000004zgFAAQ","Compras Açores Taxa Normal IVA 22%","Portugal"
"0.0","a3e24000000ZMdTAAW","Compras Continente IVA 00%","Portugal"
"0.0","a3e24000000ZMdYAAW","Vendas Açores Isento IVA 00%","Portugal"
"0.0","a3e24000000ZMddAAG","Venda Madeira Isento IVA 00%","Portugal"
"23.0","a3e24000000d6myAAA","OBS IVA 23%","Portugal"
"22.0","a3e24000000d6qvAAA","OBS IVA 22%","Portugal"
"0.0","a3e24000000d6mPAAQ","Compras Comunitárias Auto Liquidação","Portugal"
"23.0","a3e24000000HWMyAAO","Compras Continente Taxa Normal IVA 23%","Portugal"
"23.0","a3e24000000HWMtAAO","Venda Continente Taxa Normal IVA 23%","Portugal"
